run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.QubitRotation,params_summary.times.SQR,params_summary.times.Displacement
run_000,0,1772774237.0704877,0.8775910700573085,ideal,1,0.8775910700573085,0.0,0.0,0.0,0.0,0.12240892994269147,0.0,0.0,0.8775910700573085,0,0.3,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,1,1772774237.8825593,0.12578208760295972,ideal,1,0.12578208760295972,0.0,0.0,0.0,0.0,0.8742179123970403,0.0,0.0,0.12578208760295972,1,3.811167028100297,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,2,1772774238.6605823,0.016518263393488608,ideal,1,0.016518263393488386,2.220446049250313e-16,0.0,0.0,0.0,0.9834817366065116,3.700743415417188e-17,2.220446049250313e-16,0.016518263393488608,2,3.5573036739239723,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,3,1772774239.5019915,0.01335036063152839,ideal,1,0.013350360631527725,6.661338147750939e-16,0.0,0.0,0.0,0.9866496393684723,1.6653345369377348e-16,6.661338147750939e-16,0.01335036063152839,3,3.5811471818036242,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,4,1772774240.4083872,0.013291220548107718,ideal,1,0.013291220548107496,2.220446049250313e-16,0.0,0.0,0.0,0.9867087794518925,9.251858538542972e-17,2.220446049250313e-16,0.013291220548107718,4,3.587965810159088,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,5,1772774241.3591855,0.013288949120642601,ideal,1,0.013288949120642601,0.0,0.0,0.0,0.0,0.9867110508793574,0.0,0.0,0.013288949120642601,5,3.5894072514862323,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,0,1772774241.5878315,0.9343038251621938,ideal,1,0.9343038251621933,4.440892098500626e-16,0.0,0.0,0.0,0.06569617483780667,1.295260195396016e-16,4.440892098500626e-16,0.9343038251621938,0,0.5641747788856679,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,1,1772774242.300972,0.09708329962085893,ideal,1,0.09708329962085838,5.551115123125783e-16,0.0,0.0,0.0,0.9029167003791416,2.7755575615628914e-16,5.551115123125783e-16,0.09708329962085893,1,3.815364854978939,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,2,1772774243.0114121,0.015313596882175262,ideal,1,0.015313596882174818,4.440892098500626e-16,0.0,0.0,0.0,0.9846864031178252,1.4802973661668753e-16,4.440892098500626e-16,0.015313596882175262,2,3.559005070762917,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,3,1772774243.7681184,0.012378616800677644,ideal,1,0.012378616800676867,7.771561172376096e-16,0.0,0.0,0.0,0.9876213831993231,2.220446049250313e-16,7.771561172376096e-16,0.012378616800677644,3,3.5392536288853544,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,4,1772774244.5463684,0.01135328736704011,ideal,1,0.01135328736704011,0.0,0.0,0.0,0.0,0.9886467126329599,0.0,0.0,0.01135328736704011,4,3.524600295166824,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,5,1772774245.33324,0.010181980449675776,ideal,1,0.010181980449675332,4.440892098500626e-16,0.0,0.0,0.0,0.9898180195503247,1.1102230246251565e-16,4.440892098500626e-16,0.010181980449675776,5,3.4919588399700268,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,6,1772774246.1272411,0.008017579368935768,ideal,1,0.008017579368935768,0.0,0.0,0.0,0.0,0.9919824206310642,0.0,0.0,0.008017579368935768,6,3.4220707020388637,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,7,1772774246.980546,0.006814673850182307,ideal,1,0.006814673850182085,2.220446049250313e-16,0.0,0.0,0.0,0.9931853261498179,1.1102230246251565e-16,2.220446049250313e-16,0.006814673850182307,7,3.381416067193146,0.0,1.01e-06,1.01e-06,1.01e-06
run_001,8,1772774247.719161,0.005863639172582702,ideal,1,0.005863639172582591,1.1102230246251565e-16,0.0,0.0,0.0,0.9941363608274174,3.700743415417188e-17,1.1102230246251565e-16,0.005863639172582702,8,3.356583030377223,0.0,1.01e-06,1.01e-06,1.01e-06
