run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.QubitRotation,params_summary.times.SQR,params_summary.times.Displacement
run_000,0,1772857368.015689,0.603549083991763,ideal,1,0.603549083991763,0.0,0.0,0.0,0.0,0.39645091600823706,0.0,0.0,0.603549083991763,0,0.3,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,1,1772857369.275497,0.3683842088803425,ideal,1,0.3683842088803416,8.881784197001252e-16,0.0,0.0,0.0,0.6316157911196584,4.996003610813204e-16,8.881784197001252e-16,0.3683842088803425,1,1.300999316224523,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,2,1772857370.4988918,0.3465580276513567,ideal,1,0.34655802765135624,4.440892098500626e-16,0.0,0.0,0.0,0.6534419723486438,1.1102230246251565e-16,4.440892098500626e-16,0.3465580276513567,2,1.0269541918004776,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,3,1772857371.671832,0.3365452345551627,ideal,1,0.33654523455516216,5.551115123125783e-16,0.0,0.0,0.0,0.6634547654448378,2.590520390792032e-16,5.551115123125783e-16,0.3365452345551627,3,0.8458676897566718,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,4,1772857372.9302633,0.3343587321240701,ideal,1,0.3343587321240701,0.0,0.0,0.0,0.0,0.6656412678759299,0.0,0.0,0.3343587321240701,4,0.7790368749154764,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,5,1772857374.2013102,0.33071347985086064,ideal,1,0.3307134798508605,1.1102230246251565e-16,0.0,0.0,0.0,0.6692865201491395,3.700743415417188e-17,1.1102230246251565e-16,0.33071347985086064,5,0.6802726612265696,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,6,1772857375.3874223,0.2752435420028244,ideal,1,0.2752435420028233,1.1102230246251565e-15,0.0,0.0,0.0,0.7247564579971767,4.255854927729767e-16,1.1102230246251565e-15,0.2752435420028244,6,1.4370058557303678,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,7,1772857376.5822196,0.2470115401537517,ideal,1,0.24701154015375149,2.220446049250313e-16,0.0,0.0,0.0,0.7529884598462485,3.700743415417188e-17,2.220446049250313e-16,0.2470115401537517,7,1.6730114378888548,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,8,1772857377.762101,0.22839962299754302,ideal,1,0.2283996229975428,2.220446049250313e-16,0.0,0.0,0.0,0.7716003770024572,3.700743415417188e-17,2.220446049250313e-16,0.22839962299754302,8,1.8235780202058833,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,9,1772857378.9443674,0.21175321976034678,ideal,1,0.21175321976034578,9.992007221626409e-16,0.0,0.0,0.0,0.7882467802396542,3.885780586188048e-16,9.992007221626409e-16,0.21175321976034678,9,1.8681776983261051,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,10,1772857380.1635244,0.16407124779788096,ideal,1,0.1640712477978803,6.661338147750939e-16,0.0,0.0,0.0,0.8359287522021197,1.6653345369377348e-16,6.661338147750939e-16,0.16407124779788096,10,2.2437830353149333,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,11,1772857381.4414718,0.12931832904383078,ideal,1,0.12931832904383,7.771561172376096e-16,0.0,0.0,0.0,0.87068167095617,2.4054832200211723e-16,7.771561172376096e-16,0.12931832904383078,11,2.339350730936842,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,12,1772857382.6656208,0.11169922387957854,ideal,1,0.11169922387957854,0.0,0.0,0.0,0.0,0.8883007761204215,0.0,0.0,0.11169922387957854,12,2.3841437348965533,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,13,1772857383.9818356,0.10162643717358755,ideal,1,0.10162643717358699,5.551115123125783e-16,0.0,0.0,0.0,0.898373562826413,1.6653345369377348e-16,5.551115123125783e-16,0.10162643717358755,13,2.409103955724009,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,14,1772857385.2541394,0.08671989464552032,ideal,1,0.08671989464552032,0.0,0.0,0.0,0.0,0.9132801053544797,0.0,0.0,0.08671989464552032,14,2.5811759042929765,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,15,1772857386.4768832,0.07990103828799777,ideal,1,0.07990103828799755,2.220446049250313e-16,0.0,0.0,0.0,0.9200989617120024,1.295260195396016e-16,2.220446049250313e-16,0.07990103828799777,15,2.669199573030895,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,16,1772857387.6804216,0.07408838745897406,ideal,1,0.07408838745897339,6.661338147750939e-16,0.0,0.0,0.0,0.9259116125410266,3.515706244646329e-16,6.661338147750939e-16,0.07408838745897406,16,2.7150052755710004,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,17,1772857389.0566218,0.05876827343867208,ideal,1,0.058768273438671415,6.661338147750939e-16,0.0,0.0,0.0,0.9412317265613286,2.0354088784794536e-16,6.661338147750939e-16,0.05876827343867208,17,2.885412421141774,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,18,1772857390.3467646,0.05458968903372541,ideal,1,0.05458968903372474,6.661338147750939e-16,0.0,0.0,0.0,0.9454103109662753,3.1456319031046104e-16,6.661338147750939e-16,0.05458968903372541,18,2.9617220684096837,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,19,1772857391.7812734,0.04693863566864942,ideal,1,0.04693863566864909,3.3306690738754696e-16,0.0,0.0,0.0,0.9530613643313509,1.4802973661668753e-16,3.3306690738754696e-16,0.04693863566864942,19,3.2837604806876346,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,20,1772857393.1115725,0.044846775820630125,ideal,1,0.04484677582062968,4.440892098500626e-16,0.0,0.0,0.0,0.9551532241793703,1.4802973661668753e-16,4.440892098500626e-16,0.044846775820630125,20,3.4053007864434988,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,21,1772857394.3390884,0.040352245873995884,ideal,1,0.04035224587399566,2.220446049250313e-16,0.0,0.0,0.0,0.9596477541260043,7.401486830834377e-17,2.220446049250313e-16,0.040352245873995884,21,3.8059342661163638,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,22,1772857395.5697868,0.0394763054528936,ideal,1,0.039476305452892935,6.661338147750939e-16,0.0,0.0,0.0,0.9605236945471071,3.7007434154171886e-16,6.661338147750939e-16,0.0394763054528936,22,3.8756999818928315,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,23,1772857396.9416192,0.037490334771690836,ideal,1,0.037490334771690836,0.0,0.0,0.0,0.0,0.9625096652283092,0.0,0.0,0.037490334771690836,23,4.13767781023155,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,24,1772857398.1742957,0.036593567645052505,ideal,1,0.03659356764505173,7.771561172376096e-16,0.0,0.0,0.0,0.9634064323549483,2.220446049250313e-16,7.771561172376096e-16,0.036593567645052505,24,4.172125515024892,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,25,1772857399.3702502,0.03595995341706304,ideal,1,0.03595995341706226,7.771561172376096e-16,0.0,0.0,0.0,0.9640400465829377,4.070817756958907e-16,7.771561172376096e-16,0.03595995341706304,25,4.185845537319972,0.0,1.01e-06,1.01e-06,1.01e-06
run_000,26,1772857400.686974,0.031499555684982083,ideal,1,0.031499555684982083,0.0,0.0,0.0,0.0,0.9685004443150179,0.0,0.0,0.031499555684982083,26,4.309868485426479,0.0,1.01e-06,1.01e-06,1.01e-06
