run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.QubitRotation,params_summary.times.SQR,params_summary.times.Displacement,solver_stats.n_steps,solver_stats.dt,solver_stats.solver_time_sec
run_000,0,1772854257.9083486,0.6904192774983607,pulse,1,0.6904192774983597,9.992007221626409e-16,0.0,0.0,0.0,0.3095807225016403,5.181040781584064e-16,9.992007221626409e-16,0.6904192774983607,0,0.3,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.003931999992346391
run_000,5,1772854263.4885364,0.28244569213383364,pulse,1,0.2824456921338334,2.220446049250313e-16,0.0,0.0,0.0,0.7175543078661666,3.700743415417188e-17,2.220446049250313e-16,0.28244569213383364,5,85.30009833625736,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.002878600003896281
run_000,10,1772854269.0435379,0.1681847446208078,pulse,1,0.1681847446208069,8.881784197001252e-16,0.0,0.0,0.0,0.8318152553791931,2.9605947323337506e-16,8.881784197001252e-16,0.1681847446208078,10,74.21534765743792,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.0028473999991547316
run_000,15,1772854274.8881495,0.0794601736650058,pulse,1,0.07946017366500524,5.551115123125783e-16,0.0,0.0,0.0,0.9205398263349948,1.4802973661668753e-16,5.551115123125783e-16,0.0794601736650058,15,80.18798079575144,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.004908700007945299
run_000,20,1772854280.8133068,0.0423160572545358,pulse,1,0.0423160572545348,9.992007221626409e-16,0.0,0.0,0.0,0.9576839427454652,3.885780586188048e-16,9.992007221626409e-16,0.0423160572545358,20,92.89917326296,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.003148999996483326
run_000,25,1772854286.8927412,0.026343705184113886,pulse,1,0.026343705184112554,1.3322676295501878e-15,0.0,0.0,0.0,0.9736562948158874,3.3306690738754696e-16,1.3322676295501878e-15,0.026343705184113886,25,86.15415919855548,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.003093000006629154
run_000,30,1772854293.0545118,0.018575200822352755,pulse,1,0.018575200822352644,1.1102230246251565e-16,0.0,0.0,0.0,0.9814247991776474,1.850371707708594e-17,1.1102230246251565e-16,0.018575200822352755,30,109.89734552269704,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.0031312000064644963
run_000,35,1772854299.199594,0.016516814429173077,pulse,1,0.016516814429172855,2.220446049250313e-16,0.0,0.0,0.0,0.9834831855708271,3.700743415417188e-17,2.220446049250313e-16,0.016516814429173077,35,120.973809423737,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.003202899999450892
run_000,40,1772854305.328646,0.015597331234251555,pulse,1,0.015597331234251555,0.0,0.0,0.0,0.0,0.9844026687657484,0.0,0.0,0.015597331234251555,40,121.34076746840088,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.003175499994540587
run_001,0,1772854257.9099808,0.6830806038165149,pulse,1,0.6830806038165145,4.440892098500626e-16,0.0,0.0,0.0,0.3169193961834856,7.401486830834377e-17,4.440892098500626e-16,0.6830806038165149,0,0.5641747788856679,0.0,1.6e-08,1.0000000000000002e-06,4.8000000000000006e-08,4256,1e-09,0.0040914000128395855
