run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.SQR,solver_stats.n_steps,solver_stats.dt,solver_stats.solver_time_sec
gate_01_T0300ns_sigma0p2_start00,0,1772823489.8307307,0.5686397538739837,pulse,1,0.5661879249422689,0.0024518289317148126,0.0,0.0,0.0,0.4338120750577311,0.024518289317148126,0.024518289317148126,0.5686397538739837,0,37953876.144145876,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,1,1772823489.839926,0.5618035343494076,pulse,1,0.5594640352975621,0.0023394851198229693,1.3932022500210316e-08,0.0,0.0,0.44053596470243794,0.02339485119822969,0.02339485119822969,0.5618035343494076,1,37335851.624261595,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,2,1772823489.8526459,0.5763059848014347,pulse,1,0.5737498157931893,0.002556155076222836,1.393202250021029e-08,0.0,0.0,0.42625018420681077,0.025561550762228356,0.025561550762228356,0.5618035343494076,1,38571900.66403016,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,3,1772823489.8653305,0.5545281595452851,pulse,1,0.5523376209908668,0.0021904688943058205,6.966011250105151e-08,0.0,0.0,0.4476623790091332,0.021904688943058203,0.021904688943058203,0.5545281595452851,3,36571931.30592295,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,4,1772823489.8748198,0.5506859141151667,pulse,1,0.5485925356430755,0.002093253083888601,1.2538820250189273e-07,0.0,0.0,0.45140746435692447,0.02093253083888601,0.02093253083888601,0.5506859141151667,4,36099802.584493026,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,5,1772823489.885843,0.5485606229492079,pulse,1,0.5465290837792938,0.002031371209239141,1.6796067500630911e-07,0.0,0.0,0.4534709162207062,0.020313712092391408,0.020313712092391408,0.5485606229492079,5,35808010.98758431,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,6,1772823489.8982089,0.5473419834767028,pulse,1,0.5453493085514933,0.0019924775476795322,1.9737753001430064e-07,0.0,0.0,0.45465069144850667,0.01992477547679532,0.01992477547679532,0.5473419834767028,6,35627673.863063104,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,7,1772823489.909183,0.5466246171130545,pulse,1,0.5446561985301916,0.0019682018384753926,2.167443875410092e-07,0.0,0.0,0.45534380146980835,0.019682018384753926,0.019682018384753926,0.5466246171130545,7,35516219.39067558,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,8,1772823489.9201684,0.546194949888422,pulse,1,0.5442416116622653,0.001953109059289115,2.2916686760157667e-07,0.0,0.0,0.4557583883377347,0.01953109059289115,0.01953109059289115,0.546194949888422,8,35447336.73854191,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
gate_01_T0300ns_sigma0p2_start00,9,1772823489.9311926,0.5459346173737866,pulse,1,0.5439906330693818,0.0019437472869520093,2.370174527752874e-07,0.0,0.0,0.4560093669306182,0.019437472869520092,0.019437472869520092,0.5459346173737866,9,35404764.91828806,35688492.54478005,3.0000000000000004e-07,151,2e-09,0.0
