run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.SQR,solver_stats.n_steps,solver_stats.dt,solver_stats.solver_time_sec
phase2_seeded_random_T0100ns_sigma0p15_start00,0,1772791098.6156626,1.043356275908653,pulse,1,0.9575572079918769,0.08579906791677612,0.0,0.0,0.0,0.04244279200812309,0.8579906791677612,0.8579906791677612,1.043356275908653,0,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,1,1772791098.6203332,1.0427199879138045,pulse,1,0.9596777933942096,0.08304218058757261,1.3932022500210316e-08,0.0,0.0,0.04032220660579043,0.830421805875726,0.830421805875726,1.0427199879138045,1,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,2,1772791098.6269748,1.0427265510343393,pulse,1,0.9544124406810695,0.08831409642124749,1.393202250021029e-08,0.0,0.0,0.045587559318930555,0.8831409642124749,0.8831409642124749,1.0427199879138045,1,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,3,1772791098.6310148,1.0401487713369488,pulse,1,0.9608418653510185,0.07930683632581786,6.966011250105151e-08,0.0,0.0,0.03915813464898151,0.7930683632581785,0.7930683632581785,1.0401487713369488,3,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,4,1772791098.6371953,1.037558901831413,pulse,1,0.9607376651302563,0.0768211113129543,1.2538820250189273e-07,0.0,0.0,0.03926233486974378,0.7682111131295429,0.7682111131295429,1.037558901831413,4,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,5,1772791098.6417923,1.0355728849287236,pulse,1,0.9603539490046247,0.07521876796342404,1.6796067500630911e-07,0.0,0.0,0.03964605099537535,0.7521876796342404,0.7521876796342404,1.0355728849287236,5,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,6,1772791098.6480045,1.034197517536971,pulse,1,0.9599937123329652,0.07420360782647581,1.9737753001430064e-07,0.0,0.0,0.04000628766703488,0.742036078264758,0.742036078264758,1.034197517536971,6,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,7,1772791098.652768,1.0332908878864115,pulse,1,0.9597239179518918,0.07356675319013208,2.167443875410092e-07,0.0,0.0,0.04027608204810819,0.7356675319013207,0.7356675319013207,1.0332908878864115,7,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,8,1772791098.657525,1.0327091141312552,pulse,1,0.959539214263647,0.07316967070074057,2.2916686760157667e-07,0.0,0.0,0.040460785736353075,0.7316967070074056,0.7316967070074056,1.0327091141312552,8,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
phase2_seeded_random_T0100ns_sigma0p15_start00,9,1772791098.6635487,1.032341268274939,pulse,1,0.9594181944384775,0.07292283681900887,2.370174527752874e-07,0.0,0.0,0.040581805561522515,0.7292283681900886,0.7292283681900886,1.032341268274939,9,67824958.93921801,35688492.54478005,1.0000000000000001e-07,51,2e-09,0.0
