evaluation,objective,gradient_norm,elapsed_s,nominal_fidelity
1,0.019111803095637647,1.52344522060971,0.010275600005115848,0.9808881969043624
2,0.9949102647905107,1.3534391823390817,0.020244899998942856,0.00508973520948931
3,0.04429968577142762,3.135057304915697,0.02914950000558747,0.9557003142285724
4,0.0032073484412225017,0.6311325700624014,0.03861950000282377,0.9967926515587775
5,0.0002850663804713216,0.21397283472387002,0.04771720000280766,0.9997149336195287
6,5.380473879768033e-07,0.009243859958443217,0.05733419999887701,0.999999461952612
7,1.1675882483075384e-10,0.00011583174769846328,0.06721120000293013,0.9999999998832412
8,1.3202772208842362e-12,1.4931192761949345e-05,0.07647970000107307,0.9999999999986797
