axis_x,axis_y,axis_z,duration_ns,experiment_id,family_id,full_block_process_fidelity,lambda_family,lambda_impl_rad,lambda_overlap_to_target_rot_rad,lambda_target_rad,n,n_max,phi_impl_rad,phi_target_rad,residual_fit_error,residual_post_z_rad,residual_pre_z_rad,rotation_process_fidelity,theta_impl_rad,theta_target_rad
0.5985622533067205,0.011540830644959307,0.8009931573642846,700.0000000000001,uniform_pi_zero_N2_T700ns,A_naive,0.3582731927329599,zero,-4.336808689942018e-19,0.0,0.0,0,2,0.019278530819492913,0.0,5.462897864095799e-07,-0.5415554258170729,0.5029984174825564,0.3582731927329599,3.1479130252526275,3.141592653589793
0.9997760192906266,0.01985386068115862,-0.00733044797008293,700.0000000000001,uniform_pi_zero_N2_T700ns,A_naive,0.879610127930749,zero,0.01985487126264168,0.019854869379580826,0.0,1,2,0.019855698785999652,0.0,8.766365279758794e-10,-0.013239121736113635,-0.026471723761373855,0.8796101279307492,3.8490626884326598,3.141592653589793
0.5987948776905951,0.012235827194656197,-0.8008089528622713,700.0000000000001,uniform_pi_zero_N2_T700ns,A_naive,0.3582612601024773,zero,0.17203330268228778,0.1720332945961143,0.0,2,2,0.02043124456442524,0.0,3.2434383066849283e-07,0.38175090007518087,-0.42261466016227356,0.3582612601024771,3.0843032259569605,3.141592653589793
-0.9775279602603091,-0.10593624862730057,-0.18225421294470637,700.0000000000001,uniform_pi_zero_N2_T700ns,D_extended_phase,0.914938271116367,zero,6.938893903907228e-18,3.141592653589793,0.0,0,2,3.249542944327506,0.0,1.842926002260672e-05,2.925685794189195,-3.141592653589793,0.914938271116367,2.7262452727352002,3.141592653589793
-0.8521765660660099,-0.14516547712017636,0.5027147148238402,700.0000000000001,uniform_pi_zero_N2_T700ns,D_extended_phase,0.7108840178554597,zero,0.01985485752432144,-3.1217377952365033,0.0,1,2,3.3103197660832016,0.0,1.7732791003844004e-05,2.8041306047219248,-3.141592653589793,0.7108840178554596,3.43312199098598,3.141592653589793
-0.96655334753075,0.21335288005886593,-0.14232067645879398,700.0000000000001,uniform_pi_zero_N2_T700ns,D_extended_phase,0.7216633213665382,zero,0.17203342519290057,-2.9695591353510227,0.0,2,2,2.9243406714418088,0.0,1.7103517766848932e-05,-2.923338263499864,-2.925335167593344,0.721663321366538,4.136066986020906,3.141592653589793
0.46717711379907695,0.013195139998258661,0.8840652875341225,700.0000000000001,uniform_pi_zero_N3_T700ns,A_naive,0.21678823657113605,zero,-6.93889390390723e-18,0.0,0.0,0,3,0.028236898801454146,0.0,6.165613716870763e-07,-0.5827486872316854,0.5262748978655072,0.21678823657113605,2.977482523855533,3.141592653589793
0.9585927700447319,0.022092927119225073,0.28392217910771345,700.0000000000001,uniform_pi_zero_N3_T700ns,A_naive,0.8227195660773173,zero,0.01985487001657669,0.019854863563847063,0.0,1,3,0.023043170482290914,0.0,1.0778181727076257e-07,-0.25404087144450527,0.20795424826594333,0.8227195660773173,3.8005000945026883,3.141592653589793
0.9526696155121497,0.034811199166120604,-0.30200792057916215,700.0000000000001,uniform_pi_zero_N3_T700ns,A_naive,0.8220632899041839,zero,0.17203360881548843,0.17203360931429246,0.0,2,3,0.03652443349240854,0.0,3.029016735246909e-08,0.0809911937162564,-0.15404043733942174,0.8220632899041836,3.7655864385073023,3.141592653589793
0.4698243980869368,0.014722172726583651,-0.8826371239600429,700.0000000000001,uniform_pi_zero_N3_T700ns,A_naive,0.21675526721244603,zero,0.45653637728930513,0.45653685874931177,0.0,3,3,0.031325229162370904,0.0,3.9098793878552895e-07,0.4097089323790777,-0.47236040421859116,0.21675526721244598,2.8722416503920853,3.141592653589793
