block_full_fidelity_mean,block_full_fidelity_min,block_gauge_fidelity,block_rotation_fidelity_mean,block_rotation_fidelity_min,chi_hz,duration_ns,experiment_id,family_id,family_label,full_fidelity_after_ideal_snap,full_unitary_fidelity,kerr_hz,lambda_family,n_levels,n_max,off_block_norm,phase_error_affine_rms_rad,phase_error_max_abs_rad,phase_error_rms_rad,residual_post_z_rms_rad,residual_pre_z_rms_rad,snap_benchmark_improvement,title
0.5320481935887288,0.3582612601024773,0.506461799707824,0.5320481935887287,0.3582612601024771,-2840000.0,700.0000000000001,uniform_pi_zero_N2_T700ns,A_naive,Construction A: naive baseline SQR,0.506461799707824,0.5038203088158322,-30000.0,zero,3,2,0.0,0.03118896223258796,0.17203330268228778,0.09998278709296536,0.3826187411704004,0.37961002407423705,0.002641490891991838,"Uniform pi target, zero phase, N=2"
0.7824952034461217,0.7108840178554597,0.7797897432463939,0.7824952034461216,0.7108840178554596,-2840000.0,700.0000000000001,uniform_pi_zero_N2_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.7797897432463939,0.7752494657880981,-30000.0,zero,3,2,0.0,0.031188997584922586,0.17203342519290057,0.09998285644868062,2.8849432355768,3.0711992578870064,0.004540277458295883,"Uniform pi target, zero phase, N=2"
0.5195815899412708,0.21675526721244603,0.4709016718106531,0.5195815899412708,0.21675526721244598,-2840000.0,700.0000000000001,uniform_pi_zero_N3_T700ns,A_naive,Construction A: naive baseline SQR,0.4709016718106531,0.45907463405227117,-30000.0,zero,4,3,0.0,0.06616197461431243,0.45653637728930513,0.244138916507538,0.38031361386536117,0.3765179429006255,0.011827037758381953,"Uniform pi target, zero phase, N=3"
0.5780662868137412,0.36958462852500895,0.5570938819547213,0.5780662868137412,0.36958462852500895,-2840000.0,700.0000000000001,uniform_pi_zero_N3_T700ns,B_extended_rot,"Construction B: enlarged per-tone ansatz, rotation-only cost",0.5570938819547213,0.1921806859258005,-30000.0,zero,4,3,0.0,0.06616195678706319,0.4565363097231482,0.24413888572295553,1.027518738740175,1.611722606813875,0.3649131960289208,"Uniform pi target, zero phase, N=3"
0.7429515266934292,0.6856842282951077,0.740430262539362,0.7429515266934291,0.6856842282951077,-2840000.0,700.0000000000001,uniform_pi_zero_N3_T700ns,C_chirp_rot,"Construction C: chirped/loop-capable ansatz, rotation-only cost",0.740430262539362,0.018514796327474856,-30000.0,zero,4,3,0.0,0.06616199640157536,0.45653648042549133,0.24413896749082276,1.9920512919140203,2.0855003620342334,0.7219154662118871,"Uniform pi target, zero phase, N=3"
0.8529530834993063,0.7754507365127488,0.8520895145766044,0.8529530834993062,0.775450736512749,-2840000.0,700.0000000000001,uniform_pi_zero_N3_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.8520895145766044,0.8246672976742223,-30000.0,zero,4,3,0.0,0.06616194941981846,0.45653627658439655,0.2441388696060175,0.3538247477445174,0.3527345460593548,0.027422216902382113,"Uniform pi target, zero phase, N=3"
0.9025979221393269,0.8639402171557139,0.9021715330815777,0.9025979221393268,0.8639402171557137,-2840000.0,700.0000000000001,uniform_pi_zero_N3_T700ns,D_chirp_phase,Construction D: chirped ansatz with explicit block-phase objective,0.9021715330815777,0.8727385374927138,-30000.0,zero,4,3,0.0,0.06616196158069634,0.45653634859091846,0.24413890678491093,3.015861094338783,3.0798943676959447,0.02943299558886392,"Uniform pi target, zero phase, N=3"
0.5221153634475838,0.13161142468494805,0.45609057040531825,0.5221153634475837,0.13161142468494802,-2840000.0,700.0000000000001,uniform_pi_zero_N4_T700ns,A_naive,Construction A: naive baseline SQR,0.4560905704053183,0.42346465225770435,-30000.0,zero,5,4,0.0,0.1107089183394082,0.873356291384035,0.4474739241905112,0.38140092064166425,0.3825385959959368,0.03262591814761395,"Uniform pi target, zero phase, N=4"
0.83728853552844,0.7006058028948865,0.8341825585968727,0.8372885355284401,0.7006058028948865,-2840000.0,700.0000000000001,uniform_pi_zero_N4_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.8341825585968727,0.7512032799983254,-30000.0,zero,5,4,0.0,0.11070898509598308,0.8733571501429074,0.44747439168719827,2.9968747400758433,2.966149856346493,0.08297927859854737,"Uniform pi target, zero phase, N=4"
0.5320481935887287,0.3582612601024771,0.506461799707824,0.5320481935887287,0.3582612601024771,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N2_T700ns,A_naive,Construction A: naive baseline SQR,0.5064617997078242,0.5063477228281695,-30000.0,kerr_cancel,3,2,0.0,8.878166547939737e-05,0.04008641123151646,0.025827222577984928,0.3826187411704004,0.37961002407423705,0.00011407687965470092,"Uniform pi target, kerr_cancel phase, N=2"
