run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.SQR,solver_stats.n_steps,solver_stats.dt,solver_stats.solver_time_sec
gate_02_T0550ns_sigma0p16_start00,0,1772948187.490242,0.17892947929279138,pulse,1,0.17864650652159375,0.0002829727711976261,0.0,0.0,0.0,0.8213534934784062,0.0028297277119762607,0.0028297277119762607,0.17892947929279138,0,18717270.3298484,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,1,1772948187.5263562,0.18765371658955937,pulse,1,0.18736402446236056,0.0002896781951763136,1.3932022500210316e-08,0.0,0.0,0.8126359755376394,0.002896781951763136,0.002896781951763136,0.17892947929279138,0,19054374.613421645,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,2,1772948187.5538886,0.1710860940420774,pulse,1,0.17080975916885865,0.0002763209411962247,1.393202250021029e-08,0.0,0.0,0.8291902408311413,0.0027632094119622464,0.0027632094119622464,0.1710860940420774,2,18380166.046275157,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,3,1772948187.5853195,0.16261376356009544,pulse,1,0.1623455336398285,0.00026816026015441486,6.966011250105149e-08,0.0,0.0,0.8376544663601715,0.0026816026015441486,0.0026816026015441486,0.16261376356009544,3,17963482.23627226,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,4,1772948187.6142092,0.15805309622632538,pulse,1,0.1577897405370391,0.00026323030108376,1.253882025018927e-07,0.0,0.0,0.8422102594629609,0.0026323030108376,0.0026323030108376,0.15805309622632538,4,17705957.479128666,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,5,1772948187.645997,0.15549125047882628,pulse,1,0.15523090145983087,0.00026018105832038943,1.6796067500630906e-07,0.0,0.0,0.8447690985401691,0.002601810583203894,0.002601810583203894,0.15549125047882628,5,17546798.426269364,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,6,1772948187.6803203,0.1540058215193984,pulse,1,0.15374725270648182,0.0002583714353865565,1.9737753001430064e-07,0.0,0.0,0.8462527472935182,0.0025837143538655644,0.0025837143538655644,0.1540058215193984,6,17448432.721985072,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,7,1772948187.7229886,0.15312481740866662,pulse,1,0.15286738844711534,0.0002572122171637339,2.167443875410092e-07,0.0,0.0,0.8471326115528847,0.002572122171637339,0.002572122171637339,0.15312481740866662,7,17387639.373410057,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,8,1772948187.7687054,0.15259449283514248,pulse,1,0.15233776341707395,0.00025650025120095,2.2916686760157667e-07,0.0,0.0,0.847662236582926,0.0025650025120095,0.0025650025120095,0.15259449283514248,8,17350067.01770078,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_02_T0550ns_sigma0p16_start00,9,1772948187.8090293,0.15227213363142666,pulse,1,0.1520158363729328,0.00025606024104106895,2.370174527752874e-07,0.0,0.0,0.8479841636270672,0.0025606024104106893,0.0025606024104106893,0.15227213363142666,9,17326846.024835046,54324420.165874705,5.5e-07,551,1e-09,0.0
