run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.SQR,solver_stats.n_steps,solver_stats.dt,solver_stats.solver_time_sec
gate_01_T1000ns_sigma0p16_start00,0,1773017171.9485254,0.20418437705175757,pulse,1,0.20390743540476985,0.00027694164698772815,0.0,0.0,0.0,0.7960925645952301,0.0027694164698772814,0.0027694164698772814,0.20418437705175757,0,14080864.765861142,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,1,1773017172.0109358,0.2213304326337208,pulse,1,0.2210702903210814,0.0002601283806168979,1.3932022500210316e-08,0.0,0.0,0.7789297096789186,0.002601283806168979,0.002601283806168979,0.20418437705175757,0,13895457.409895858,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,2,1773017172.0760314,0.2075809830405311,pulse,1,0.2072878991887699,0.0002930699197387156,1.393202250021029e-08,0.0,0.0,0.7927121008112301,0.002930699197387156,0.002930699197387156,0.20418437705175757,0,14266272.121826427,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,3,1773017172.1412752,0.23857859186506453,pulse,1,0.23826639594264087,0.000312126262311143,6.966011250105149e-08,0.0,0.0,0.7617336040573591,0.0031212626231114297,0.0031212626231114297,0.20418437705175757,0,14495448.217328021,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,4,1773017172.2050264,0.20303038835851692,pulse,1,0.20274776467341038,0.00028262199662866685,1.6884778471069315e-09,0.0,0.0,0.7972522353265896,0.0028262199662866683,0.0028262199662866683,0.20303038835851692,4,14145410.502341077,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,5,1773017172.273772,0.20302824432408467,pulse,1,0.20274586441989995,0.0002823783457793463,1.5584053703348746e-09,0.0,0.0,0.7972541355801,0.0028237834577934627,0.0028237834577934627,0.20302824432408467,5,14142874.532232534,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,6,1773017172.337265,0.2030282395618452,pulse,1,0.20274587272707234,0.0002823652838611843,1.5509116636056806e-09,0.0,0.0,0.7972541272729277,0.002823652838611843,0.002823652838611843,0.2030282395618452,6,14142725.263314735,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,7,1773017172.4007022,0.20302823970275394,pulse,1,0.20274586828362473,0.00028236986559094433,1.5535382618170388e-09,0.0,0.0,0.7972541317163753,0.002823698655909443,0.002823698655909443,0.2030282395618452,6,14142777.624109834,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,8,1773017172.472386,0.2030282410760769,pulse,1,0.20274587882327733,0.00028236070451230364,1.5482872876944288e-09,0.0,0.0,0.7972541211767227,0.002823607045123036,0.002823607045123036,0.2030282395618452,6,14142672.902519636,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
gate_01_T1000ns_sigma0p16_start00,9,1773017172.5361633,0.21365334381660725,pulse,1,0.2133704269640595,0.0002823652874337457,5.515651140002122e-07,0.0,0.0,0.7866295730359405,0.0028236528743374573,0.0028236528743374573,0.2030282395618452,6,14142725.263314735,54324420.165874705,1.0000000000000002e-06,1002,1e-09,0.0
