block_gauge_fidelity,block_rotation_fidelity_mean,case_id,duration_ns,family_id,family_label,fidelity_after_residual_snap,full_unitary_fidelity,lambda_impl_relative_rad,lambda_target_relative_rad,mode,off_block_norm,phase_error_rms_rad,predicted_phase_distance_rad,residual_snap_max_abs_rad,residual_snap_relative_rad,residual_snap_rms_rad,snap_improvement,title
0.8078985442147626,0.8085796174415293,uniform_pi_zero,450.0,D_chirp_phase,D_chirp_phase route-B SQR,0.8078985442147621,0.0652300561064453,"[0.0, -0.8912070043332102, 1.4443786261981062, 0.7235712498979511]","[0.0, 0.0, 0.0, 0.0]",naive,0.0,0.9225013406588343,0.9225014179212306,2.2503856433636105,"[0.0, -2.2503856433636105, 1.697214039600931, -0.723571153378074]",1.455019437505599,0.7426684881083169,Uniform pi rotations with zero target block phase
0.7697242487094801,0.7704984311328134,uniform_pi_zero,700.0,D_extended_phase,D_extended_phase route-B SQR,0.7697242487094801,0.7449907103022184,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, 0.0, 0.0, 0.0]",codesigned,0.0,0.2441388001293892,0.24413885516339046,0.45653619808752965,"[0.0, -0.019854871886886814, -0.17203360832937326, -0.45653619808752965]",0.24413883268372372,0.024733538407261668,Uniform pi rotations with zero target block phase
0.851242685255161,0.8525788805654125,structured_zero,450.0,D_chirp_phase,D_chirp_phase route-B SQR,0.851242685255161,0.3497268408408124,"[0.0, -0.8912069725644979, 1.4443784075686052, 0.7235669793192125]","[0.0, 0.0, 0.0, 0.0]",naive,0.0,0.9225004099943707,0.9225014179212306,2.4180253174826953,"[0.0, 0.8912069787026553, 1.6972142948026947, 2.4180253174826953]",1.5428571448256487,0.5015158444143486,Structured conditional rotations with zero target block phase
0.968874602120851,0.9689421991583352,structured_zero,700.0,D_chirp_phase,D_chirp_phase route-B SQR,0.968874602120851,0.9368298065461131,"[0.0, 0.01985486849287951, 0.17203363518817907, 0.4565364509763187]","[0.0, 0.0, 0.0, 0.0]",codesigned,0.0,0.24413895557089085,0.24413885516339046,0.4565365030435808,"[0.0, -0.01985486181540271, -0.1720336412701688, -0.4565365030435808]",0.24413898084781716,0.03204479557473783,Structured conditional rotations with zero target block phase
0.5428806187753478,0.5686434674764625,uniform_pi_quadratic,450.0,D_extended_phase,D_extended_phase route-B SQR,0.5428806187753478,0.05697842870774485,"[0.0, -0.8912070017396987, 1.4443786255269515, 0.7235712424523797]","[0.0, 0.0, 0.22, 0.66]",naive,0.0,0.7578578760994817,0.7578578898773889,5.058806667515066,"[0.0, 4.03279964296469, 5.058806667515066, 3.078021493969063]",3.5822204767757726,0.48590219006760293,Uniform pi rotations with quadratic target block phase
0.7695263725367163,0.770258120608155,uniform_pi_quadratic,700.0,D_extended_phase,D_extended_phase route-B SQR,0.7695263725367163,0.7637549329578728,"[0.0, 0.019854867381272265, 0.17203360678300572, 0.4565361291525053]","[0.0, 0.0, 0.22, 0.66]",codesigned,0.0,0.10499111554938975,0.10499105882806105,0.20346380209114212,"[0.0, -0.019854871903197433, 0.047966391641001825, 0.20346380209114212]",0.10499108227217895,0.005771439578843518,Uniform pi rotations with quadratic target block phase
0.7863047442515401,0.7869452017958355,uniform_pi_random,450.0,D_chirp_phase,D_chirp_phase route-B SQR,0.7863047442515398,0.015482694435089702,"[0.0, -0.891207002059712, 1.4443786233713443, 0.7235712585240668]","[0.0, -0.5, 0.3, -0.7]",naive,0.0,0.933970085198883,0.933970227739143,2.7503856566033025,"[0.0, -2.7503856566033025, 1.9972140613105587, -1.4235711201150583]",1.842555290945935,0.7708220498164502,Uniform pi rotations with a designed non-drift phase pattern
0.8996954098551248,0.8997029227578905,uniform_pi_random,500.0,D_chirp_phase,D_chirp_phase route-B SQR,0.899695409855125,0.027528447060603353,"[0.0, -1.3373131672878031, 0.5615910644810551, -0.5864726082363166]","[0.0, -0.5, 0.3, -0.7]",codesigned,0.0,0.44227019281501695,0.4422702012768831,6.169657810019107,"[0.0, 3.9789058238753685, 2.8800015957569127, 6.169657810019107]",3.943056499708109,0.8721669627945217,Uniform pi rotations with a designed non-drift phase pattern
