alpha_abs,alpha_im,alpha_re,base_family_id,block_gauge_fidelity,block_rotation_fidelity_mean,duration_ns,family_id,full_unitary_fidelity,lambda_impl_relative_rad,off_block_norm,phase_error_rms_rad,phase_steering_distance_from_drift_rad,residual_snap_max_abs_rad,residual_snap_rms_rad,target_distance_from_drift_rad,target_name
,,,D_extended_phase,0.7697242487094801,0.7704984311328134,700.0,route_b_qubit_only,0.7449907103022184,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]",0.0,0.2441388001293892,5.770433157813135e-08,0.45653619808752965,0.24413883268372372,0.24413885516339046,zero
7.850462293418876e-17,5.551115123125783e-17,5.551115123125783e-17,D_extended_phase,0.7697242487094801,0.7704984311328134,700.0,displacement_conjugation,0.7449907103022184,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]",0.0,0.2441388001293892,5.770433157813135e-08,0.45653619808752965,0.24413883268372372,0.24413885516339046,zero
,,,D_extended_phase,0.7697242487094801,0.7704984311328132,700.0,explicit_snap_assist,0.7697242487094801,"[0.0, -4.506244676016902e-09, -1.554508114245956e-09, -6.885370919251809e-08]",0.0,3.4509259649133435e-08,0.24413888771772574,5.106373112221345e-17,3.1469945760803114e-17,0.24413885516339046,zero
,,,D_extended_phase,0.7697242487094801,0.7704984311328134,700.0,route_b_qubit_only,0.7697242487094796,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]",0.0,5.770433157813135e-08,5.770433157813135e-08,4.6332138638694406e-08,2.353464879404691e-08,0.0,natural_drift
0.010555969738092254,-0.010555969738092254,6.661338147750939e-16,D_extended_phase,0.7699816778715328,0.77075618925067,700.0,displacement_conjugation,0.7699816778715325,"[0.0, 0.01985486686148587, 0.1720336050149553, 0.4565361315125735]",0.020999863474643457,5.662440285713799e-08,5.662440285713799e-08,4.3230560559492324e-08,2.2135295129772665e-08,0.0,natural_drift
,,,D_extended_phase,0.7697242487094801,0.7704984311328132,700.0,explicit_snap_assist,0.7697242487094801,"[0.0, 0.01985486106444115, 0.17203361215606477, 0.45653617556595905]",0.0,3.450925969803102e-08,3.450925969803102e-08,3.060372379452835e-17,1.5331957550928924e-17,0.0,natural_drift
,,,D_extended_phase,0.7697242487094801,0.7704984311328134,700.0,route_b_qubit_only,0.7693546347151823,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]",0.0,0.037145004424146394,5.770433157813135e-08,0.0595645503799234,0.037145033044658625,0.03714505221298173,kerr_cancel
3.925231146709438e-17,2.7755575615628914e-17,2.7755575615628914e-17,D_extended_phase,0.7697242487094801,0.7704984311328134,700.0,displacement_conjugation,0.7693546347151823,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]",0.0,0.037145004424146394,5.770433157813135e-08,0.0595645503799234,0.037145033044658625,0.03714505221298173,kerr_cancel
,,,D_extended_phase,0.7697242487094801,0.7704984311328132,700.0,explicit_snap_assist,0.7697242487094801,"[0.0, -4.506244676016902e-09, 0.13232388101469392, 0.39697157885389706]",0.0,3.450925967042777e-08,0.03714508083351055,6.536157583643321e-17,3.280749003414196e-17,0.03714505221298173,kerr_cancel
,,,D_extended_phase,0.7697242487094801,0.7704984311328134,700.0,route_b_qubit_only,0.7344947799507988,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]",0.0,0.28349208034469214,5.770433157813135e-08,0.5544871553603244,0.28349211448801437,0.28349213694431197,random_small_a
