baseline_experiment_id,block_gauge_fidelity,duration_ns,family_id,full_unitary_fidelity,lambda_impl_relative_rad,lambda_target_relative_rad,phase_error_rms_rad,phase_shift_vs_drift_rad,phase_shift_vs_zero_target_rad,retargeted_experiment_id
followup_multitone_zero,0.7597088975186256,702.0,D_extended_phase,0.3194446244096377,"[0.0, 0.019854867278766182, 0.1720336070979616, 0.4565361956831504]","[0.0, -1.130145134429314, 1.022033613710573, -0.8434637555803317]",0.9663073900751097,2.460636272964223e-08,3.322509675620066e-08,followup_multitone_far
followup_piecewise_zero,1.0000017465144864,702.0,piecewise_iq,0.4201566708788622,"[0.0, 0.019854841349924997, 0.17203272098100694, 0.4565292469845213]","[0.0, -1.130145134429314, 1.022033613710573, -0.8434637555803317]",0.9663052401610595,3.527096942253237e-06,0.0,followup_piecewise_far
