block_gauge_fidelity,block_rotation_fidelity_mean,duration_ns,family_id,max_abs_phase_error_vs_prediction_rad,n_max,observed_relative_phase_rad,predicted_relative_phase_rad
0.38133787133508185,0.40430705356292,450.0,A_naive,2.561885992236057e-08,2,"[0.0, -0.8912070046276641, 1.4443786127955809]","[0.0, -0.8912070039703535, 1.4443786384144408]"
0.506461799707824,0.5320481935887287,700.0,A_naive,3.110282869034364e-07,2,"[0.0, 0.01985487126264168, 0.17203330268228778]","[0.0, 0.01985486557068672, 0.17203361371057468]"
0.6181158582729005,0.6646843080784491,1000.0,A_naive,1.058622820515609e-06,2,"[0.0, 0.4848105398480792, 1.158492648314943]","[0.0, 0.4848105783019747, 1.1584937069377634]"
0.3271455656478406,0.41544430048600745,450.0,A_naive,4.5074666044087053e-07,3,"[0.0, -0.8912070030624906, 1.4443786203311575, 0.7235711692281397]","[0.0, -0.8912070039703535, 1.4443786384144408, 0.7235716199748001]"
0.4709016718106531,0.5195815899412708,700.0,A_naive,1.3286963679304264e-07,3,"[0.0, 0.0198548700165767, 0.17203360881548843, 0.45653637728930513]","[0.0, 0.01985486557068672, 0.17203361371057468, 0.45653624441966834]"
0.37070173648823956,0.5140699276111136,1000.0,A_naive,2.9239884438148067e-06,3,"[0.0, 0.48481057589666426, 1.1584934926901358, -1.1205461916708566]","[0.0, 0.4848105783019747, 1.1584937069377634, -1.1205432676824127]"
0.24010176185198273,0.2830215743843941,450.0,A_naive,4.265221536181585e-06,4,"[0.0, -0.891207024099375, 1.4443785513627556, 0.7235709497509515, 0.08796032907897255]","[0.0, -0.8912070039703535, 1.4443786384144408, 0.7235716199748001, 0.08796459430050874]"
0.45609057040531825,0.5221153634475837,700.0,A_naive,6.466313921094091e-06,4,"[0.0, 0.01985466523174041, 0.17203306533912793, 0.45653452131329586, 0.873356291384035]","[0.0, 0.01985486557068672, 0.17203361371057468, 0.45653624441966834, 0.8733627576979561]"
0.35175686531235356,0.4553298692118714,1000.0,A_naive,8.564481505407562e-06,4,"[0.0, 0.4848105642987222, 1.1584936061414592, -1.120544443331468, -0.06912360286048899]","[0.0, 0.4848105783019747, 1.1584937069377634, -1.1205432676824127, -0.06911503837898358]"
