block_gauge_grad,block_rotation_mean_grad,block_rotation_min_grad,family_id,max_abs_phase_grad,metric_grad_norm,metric_shift_minus,metric_shift_plus,parameter_index,phase_grad_norm,phase_shift_minus_rad,phase_shift_plus_rad,step_size
0.010081006099893477,0.011280973475080714,-0.16900830089891503,D_extended_phase,7.494824205700461e-09,0.16968409713131566,0.00033941847286321627,0.0003393535045018176,0,8.542446285359533e-09,1.6935959420395013e-11,1.7234421287635435e-11,0.0040000000000000036
0.009430994336862628,0.009366259521149629,-0.011974878380027192,D_extended_phase,4.459885093761996e-08,0.01789044951408163,0.00012050808946632503,0.00010462043538894489,1,4.4690959594715275e-08,2.8018336161779533e-10,2.814198034101885e-10,0.012566370614359168
2.6584214704294598e-08,2.5417857482070522e-08,5.263065415658234e-08,D_extended_phase,1.1128773282091553e-12,6.42088288895901e-08,0.00442922041912178,0.001429339669551669,2,1.1129418639911128e-12,5.480675802880214e-10,8.896102796474034e-08,80424.7719318987
-0.004438333918590327,-0.005645189650686971,0.01778544901561809,D_extended_phase,1.1601629797707437e-08,0.019180437191375046,0.00011784639358846935,0.00012320210689374585,4,1.1635269455649378e-08,7.325934728346009e-11,7.295379355826336e-11,0.012566370614359168
-1.1467646390073459e-08,-1.19950028864355e-08,1.1593839915634842e-08,D_extended_phase,2.9350797748469606e-15,2.0243619537096832e-08,0.0007958466940519381,0.0008322465552469082,5,2.9392257844558455e-15,1.2004840807248736e-10,1.1633818302485378e-10,80424.7719318987
1.123041209633011e-08,1.16331148411933e-08,7.428620644844918e-09,D_extended_phase,5.017146932077314e-15,1.7794266532982064e-08,0.0007189594593934291,0.0007135679017174138,8,5.018865278689775e-15,2.0420657155263234e-10,1.9943463791268085e-10,80424.7719318987
0.00011320407469761475,0.001344296124805576,0.09503175086386642,D_extended_phase,2.1304333297500457e-08,0.09504132585084066,0.00019755966134056286,0.0001826662576554443,9,2.1371813411770616e-08,4.2810190814877657e-11,4.2677074422744655e-11,0.0040000000000000036
-2.5333819850578348e-08,-2.4138698827021895e-08,-7.240132088674275e-08,D_extended_phase,1.123241437587173e-12,8.041411863241628e-08,0.0016664451598814773,0.005067434511043226,11,1.1233060351952106e-12,8.981573996768042e-08,5.271258276304638e-10,80424.7719318987
-2.0891879377167318e-11,-2.08919407176983e-11,1.5865273440127828e-11,piecewise_iq,3.2129764731717316e-12,3.35358123830623e-11,6.390783519782767e-05,6.579072975057104e-05,0,3.251670320320437e-12,1.3573299193958248e-06,7.065014602493386e-07,201061.92982974648
6.5208836698153936e-12,6.520859175126909e-12,1.2532501758919707e-11,piecewise_iq,4.4215159243238804e-12,1.555979204727452e-11,7.210915217822427e-05,6.901984954793013e-05,3,4.493371216474991e-12,2.9203780159601847e-06,2.0172260949817785e-06,201061.92982974648
5.774768064897527e-12,5.774786986989163e-12,1.9615186329402515e-11,piecewise_iq,6.652054714771729e-12,2.1247391503091362e-11,6.83683539908538e-05,6.440481578336042e-05,6,6.787932884810307e-12,5.507077116425611e-07,8.158845485647409e-07,201061.92982974648
-7.136947958133114e-12,-7.1369028439528045e-12,1.4727746592265475e-11,piecewise_iq,1.6457660597124655e-13,1.785435319598863e-11,5.7551079328883894e-05,5.682241667214402e-05,10,2.046579834156903e-13,1.6163781785968183e-06,1.5988448824337328e-06,201061.92982974648
