block_gauge_fidelity,block_rotation_fidelity_mean,block_rotation_fidelity_min,category,duration_ns,family_id,full_unitary_fidelity,ideal_post_snap_fidelity,label,lambda_impl_relative_rad,lambda_target_relative_rad,max_abs_phase_shift_from_family_baseline_rad,n_levels,phase_error_rms_rad,phase_steering_distance_from_drift_rad,snap_gap,target_category,target_distance_from_drift_rad,target_name
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7449907103022184,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, 0.0, 0.0, 0.0]",0.0,4,0.2441388001293892,5.770433157813135e-08,0.024733538407261668,structured,0.24413885516339046,zero
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7697242487094796,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, 0.01985486557068583, 0.1720336137105729, 0.45653624441966834]",0.0,4,5.770433157813135e-08,5.770433157813135e-08,4.440892098500626e-16,structured,0.0,natural_drift
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7693546347151823,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, 0.0, 0.1323238825692021, 0.39697164770760635]",0.0,4,0.03714500442414636,5.770433157813135e-08,0.0003696139942978016,structured,0.0371450522129817,kerr_cancel
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7266145220989846,0.7697242487094799,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, 0.24, -0.24, 0.24]",0.0,4,0.25745070780222407,5.770433157813135e-08,0.04310972661049528,structured,0.25745073518426237,alternating
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.6667848396987045,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, 0.07, -0.07999999999999999, -0.45]",0.0,4,0.47112716618647626,5.770433157813135e-08,0.10293940901077558,structured,0.47112722257195583,affine_quadratic
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7344947799507988,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, -0.07558155042615496, 0.1019836280007256, -0.09795095727279476]",0.0,4,0.28349208034469214,5.770433157813135e-08,0.03522946875868127,random_small,0.28349213694431197,random_small_a
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7405084589089331,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, -0.14316963061722365, -0.06784452853586455, -0.0925209914561794]",0.0,4,0.31047633908560646,5.770433157813135e-08,0.029215789800546954,random_small,0.31047639111233166,random_small_b
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7414336794765376,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, 0.018724941195116196, 0.013795850433603873, -0.02262423370576011]",0.0,4,0.25230691512396747,5.770433157813135e-08,0.028290569232942486,random_small,0.2523069708972494,random_small_c
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7373808845380655,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, -0.38358196631412833, -0.18535917831051535, -0.12144075180652536]",0.0,4,0.3951417962674516,5.770433157813135e-08,0.03234336417141459,random_medium,0.39514183949454723,random_medium_a
0.7697242487094801,0.7704984311328134,0.721299182084319,multitone_fixed_T,702.0,D_extended_phase,0.7469934866917882,0.7697242487094801,Phase-aware multitone SQR,"[0.0, 0.019854867380642138, 0.17203360677486512, 0.4565361292338205]","[0.0, -0.0903433952838546, -0.17040851006458624, 0.5832552195435631]",0.0,4,0.19070132952386998,5.770433157813135e-08,0.022730762017691863,random_medium,0.19070131324105835,random_medium_b
