run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.SQR,solver_stats.n_steps,solver_stats.dt,solver_stats.solver_time_sec
gate_01_T0550ns_sigma0p16_start00,0,1772962457.177705,0.23675814316300833,pulse,1,0.2363205555635327,0.0004375875994756213,0.0,0.0,0.0,0.7636794444364673,0.004375875994756213,0.004375875994756213,0.23675814316300833,0,25601575.940854598,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,1,1772962457.2131498,0.24576914580867393,pulse,1,0.24537312957146085,0.0003960023051905872,1.3932022500210316e-08,0.0,0.0,0.7546268704285392,0.003960023051905872,0.003960023051905872,0.23675814316300833,0,25264471.657281354,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,2,1772962457.248097,0.2528000958947415,pulse,1,0.25231897643705703,0.0004811055256620171,1.393202250021029e-08,0.0,0.0,0.747681023562943,0.004811055256620171,0.004811055256620171,0.23675814316300833,0,25938680.22442784,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,3,1772962457.2832975,0.2884367065847577,pulse,1,0.28808904476100616,0.0003475921636389807,6.966011250105151e-08,0.0,0.0,0.7119109552389938,0.0034759216363898066,0.0034759216363898066,0.23675814316300833,0,24847787.847278457,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,4,1772962457.3191738,0.23652552688174577,pulse,1,0.23609428911853791,0.00043123745160056955,3.1160729522876747e-10,0.0,0.0,0.7639057108814621,0.0043123745160056955,0.0043123745160056955,0.23652552688174577,4,25551160.79872742,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,5,1772962457.3555422,0.23652354260299155,pulse,1,0.23609192049542038,0.00043162183266509923,2.7490606720023946e-10,0.0,0.0,0.7639080795045796,0.004316218326650992,0.004316218326650992,0.23652354260299155,5,25554222.738978986,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,6,1772962457.3940842,0.23652332873675833,pulse,1,0.23609152574092307,0.0004318027374015489,2.584337118998951e-10,0.0,0.0,0.7639084742590769,0.004318027374015489,0.004318027374015489,0.23652332873675833,6,25555663.353225775,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,7,1772962457.4279552,0.23652332865576678,pulse,1,0.236091537614756,0.00043179078150422503,2.595065555997379e-10,0.0,0.0,0.763908462385244,0.00431790781504225,0.00431790781504225,0.23652332865576678,7,25555568.152767397,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,8,1772962457.4637842,0.2365233305863996,pulse,1,0.23609155150005146,0.00043177882576653616,2.605816215695578e-10,0.0,0.0,0.7639084484999485,0.004317788257665362,0.004317788257665362,0.23652332865576678,7,25555472.95230761,54324420.165874705,5.5e-07,551,1e-09,0.0
gate_01_T0550ns_sigma0p16_start00,9,1772962457.5009003,0.2505431832696074,pulse,1,0.25011084221439583,0.0004317907815026622,5.502737088922062e-07,0.0,0.0,0.7498891577856042,0.004317907815026622,0.004317907815026622,0.23652332865576678,7,25555568.152767397,54324420.165874705,5.5e-07,551,1e-09,0.0
