run_id,iteration,timestamp,objective_total,backend,progress_schema_version,objective_terms.infidelity,objective_terms.leakage,objective_terms.time_reg,objective_terms.grid_penalty,objective_terms.constraint_penalty,metrics.fidelity_subspace,metrics.leakage_avg,metrics.leakage_worst,best_so_far.objective_total,best_so_far.iteration,params_summary.max_amp,params_summary.max_detuning,params_summary.times.SQR,solver_stats.n_steps,solver_stats.dt,solver_stats.solver_time_sec
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,0,1772791044.6553547,0.74839576908324,pulse,1,0.6484296818241534,0.09996608725908665,0.0,0.0,0.0,0.3515703181758466,0.9996608725908664,0.9996608725908664,0.74839576908324,0,83627308.92944138,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,1,1772791044.6599736,0.7426139051073327,pulse,1,0.6426399499875641,0.09997394118774604,1.3932022500210316e-08,0.0,0.0,0.3573600500124359,0.9997394118774603,0.9997394118774603,0.7426139051073327,1,81773235.36978853,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,2,1772791044.6645849,0.7537470954743468,pulse,1,0.6537978351180362,0.09994924642428807,1.393202250021029e-08,0.0,0.0,0.34620216488196376,0.9994924642428806,0.9994924642428806,0.7426139051073327,1,85481382.48909423,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,3,1772791044.6692457,0.7348972236173615,pulse,1,0.6349222641715526,0.09997488978569646,6.966011250105151e-08,0.0,0.0,0.36507773582844744,0.9997488978569646,0.9997488978569646,0.7348972236173615,3,79481474.4147726,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,4,1772791044.6754205,0.7298256867967868,pulse,1,0.6298546942451636,0.09997086716342074,1.2538820250189273e-07,0.0,0.0,0.3701453057548364,0.9997086716342074,0.9997086716342074,0.7298256867967868,4,78065088.25048283,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,5,1772791044.6800225,0.7265796106166653,pulse,1,0.6266131298198906,0.09996631283609965,1.6796067500630911e-07,0.0,0.0,0.3733868701801094,0.9996631283609965,0.9996631283609965,0.7265796106166653,5,77189713.45975666,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,6,1772791044.6850128,0.7245316861991357,pulse,1,0.6245689409216826,0.0999625478999231,1.9737753001430064e-07,0.0,0.0,0.3754310590783174,0.9996254789992308,0.9996254789992308,0.7245316861991357,6,76648702.08619305,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,7,1772791044.6911435,0.7232502709324057,pulse,1,0.6232902316498548,0.09995982253816334,2.167443875410092e-07,0.0,0.0,0.3767097683501452,0.9995982253816333,0.9995982253816333,0.7232502709324057,7,76314338.66903049,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,8,1772791044.6957657,0.7224523320260293,pulse,1,0.6224941354439016,0.09995796741526008,2.2916686760157667e-07,0.0,0.0,0.37750586455609836,0.9995796741526007,0.9995796741526007,0.7224523320260293,8,76107690.71262947,35688492.54478005,1e-07,51,2e-09,0.0
phase1_selective_flip_n0_T0100ns_sigma0p15_start00,9,1772791044.7004507,0.7219569756848113,pulse,1,0.6219999852851701,0.09995675338218844,2.370174527752874e-07,0.0,0.0,0.3780000147148299,0.9995675338218843,0.9995675338218843,0.7219569756848113,9,75979975.25186792,35688492.54478005,1e-07,51,2e-09,0.0
