observable,dense_real,mps_real,extended_exact_real,sampled_real,sampled_stderr,abs_error_sample_vs_exact,abs_error_mps_vs_dense,abs_error_exact_vs_dense,z_score
Z0,-0.02109094205889632,-0.02109094205889583,-0.021090942058895768,-0.02517999999999976,0.003161290814461086,0.0040890579411039935,4.891920264322474e-16,5.516420653606247e-16,1.293477310723489
X1,0.56743204176032,0.5674320417603205,0.5674320417603197,0.5702399999999959,0.0025977549744556567,0.002807958239676167,4.460720844677568e-16,3.3306690738754696e-16,1.0809172794537933
Z2,-0.6105759411893887,-0.6105759411893894,-0.6105759411893886,-0.618100000000005,0.0024858772487508294,0.007524058810616352,6.662694674065453e-16,1.1102230246251565e-16,3.026721779764968
Z0Z2,-0.07207656151673507,-0.07207656151673547,-0.07207656151673555,-0.07325999999999971,0.0031537959966193123,0.0011834384832641598,4.024642582521177e-16,4.85722573273506e-16,0.37524255992865035
X1Z3,0.0549342962683889,0.05493429626838902,0.05493429626838898,0.05530000000000025,0.003157454480303402,0.0003657037316112735,1.183334157128162e-16,7.632783294297951e-17,0.11582232899716507
"Connected(Z0,Z2)",-0.08495418331491669,-0.08495418331491669,-0.08495418331491669,-0.0888237579999997,0.0037105847546081874,0.003869574685083005,0.0,0.0,1.0428476752289157
