site,tensor_shape,joint_unitary_shape,kraus_completeness_error,right_canonical_error,unitarity_error
0,"(4, 2, 4)","(8, 8)",4.645528709840367e-16,4.645528709840367e-16,5.646543570898836e-16
1,"(4, 2, 4)","(8, 8)",8.960044069745523e-16,8.960044069745523e-16,1.0378941890736462e-15
2,"(4, 2, 4)","(8, 8)",1.051289657950798e-15,1.051289657950798e-15,1.1732734182615616e-15
3,"(4, 2, 4)","(8, 8)",8.777083671441753e-17,8.777083671441753e-17,2.6528424393155147e-16
